nineteen,19
ninety,90
ninth,9番目
noon,正午
nose,鼻
not,でない
notebook,ノート
nothing,何もない
November,11月
number,数、数字
nurse,看護婦
October,10月
office,事務所
often,よく
old,古い
on,【場所】の上に
one,1
only,～だけ
open,を開ける
other,他の
our,私たちの
ours,私たちのもの
out,外に
outside,外で
over,向こうへ
pm,午後
painting,絵をかくこと
parent,親
park,公園
pass,を通り過ぎる
pencil,鉛筆
people,人々
perform,演じる
period,期間、時間
pick,を摘む
picture,絵、写真
pig,ブタ
place,場所
plan,を計画する
play,を演奏する
play,を演じる
player,選手
pleasure,喜び
police,警察官
poor,貧しい
popular,人気のある
practice,を練習する
practice,練習
problem,問題
purple,紫色
put,を置く
queen,女王
question,質問
quickly,すぐに
quiet,静かな
rabbit,ウサギ
rainy,雨降りの
read,を読む
reading,読書
really,本当に、実際に
red,赤
rest,休息
rice,米、ご飯
rich,金持ちの
ride,乗る
right,右
right,正しい
river,川
role,役、役割
room,部屋
round,丸い
ruler,定規
run,走る
sad,悲しい
said,言った（過去形）
salad,サラダ
Saturday,土曜日
saw,見た（過去形）
say,を言う
school,学校
science,科学
scientist,科学者
sea,海
season,季節
second,2番目
see,を見る
see,が分かる
see,に会う
sell,を売る
September,9月
seven,7
seventeen,17
seventy,70
she,彼女は
sheep,ヒツジ
ship,船
shoe,くつ
shop,店
shopping,買物
short,短い
shoulder,肩
show,を見せる
shy,恥ずかしがりの
sick,病気の
sing,を歌う
singer,歌手
sister,姉妹
sit,座る
six,6
sixteen,16
sixth,6番目
sixty,60
sleep,眠る
small,小さい
smile,ほほえむ
snake,ヘビ
snow,雪
snowy,雪の降る
some,いくつかの
something,なにか
sometimes,ときどき
song,歌
soon,すぐに
sound,に聞こえる
soup,スープ
speak,を話す
special,特別の
speech,演説
spell,をつづる
spend,を過ごす
spring,春
stand,立つ
star,星
station,駅
stay,滞在する
still,まだ
stop,止める
straight,真っすぐに
street,通り
strong,強い
student,生徒
study,を勉強する
subject,教科、科目
subway,地下鉄
summer,夏
Sunday,日曜日
sunny,晴れの
supermarket,スーパーマーケット
sure,もちろん
sure,確信して
surprise,驚くべきこと
sweet,甘い
swim,泳ぐ
swimming,水泳
table,つくえ
take,を撮る
take,に乗る
talk,話す
teach,教える
teacher,先生、教師
telephone,電話
tell,に話す
temple,寺
ten,10
tenth,10番目
textbook,教科書
thank,に感謝する
that,あの
that,あれ
the,その
theater,劇場
their,彼らの
theirs,彼らのもの
them,彼らを
there,そこに
these,これらの
they,彼らは
thing,もの、こと
think,考える
third,3番目
thirteen,13
thirty,30
this,これ
this,この
those,あれらの
thousand,千
three,3
Thursday,木曜日
tiger,トラ
time,時間
tired,疲れた
to,【方向・到達】の方へ
today,今日、現在
together,一緒に
told,に伝えた
tomorrow,明日
too,もまた
too,～すぎる
took,撮った
tooth,歯
touch,にさわる
towel,タオル
tower,塔
